site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
TB,2,MG,Oenothera_ siffrtescuns,OESU,0.026,0.0108,5/28/2022,KB_KVL,early,
FK,1,MG,Bouteloua_dactyloides,BODA,0.016,0.0109,7/2/2022,KB_MF,late,
FK,1,HG,Carex_filifolia,CAFI,0.055,0.011,6/1/2022,KB_KVL,early,
FK,2,LG,Bouteloua_dactyloides,BODA,0.027,0.011,7/2/2022,KB_MF,late,
TB,2,HG,Antennaria_parvifolia,ANPA,0.046,0.0112,5/28/2022,KB_KVL,early,
FK,2,LG,Bromus_arvensis,BRAR,0.033,0.0113,6/1/2022,KB_KVL,early,
FK,3,HG,Plantago_patagonica,PLPA,0.041,0.0113,6/2/2022,KB_KVL,early,
TB,1,MG,Tetraneuris_acaulis,TEAC,0.044,0.0114,5/28/2022,KB_KVL,early,
TB,1,MG,Poa_secunda,POSE,0.035,0.0115,5/28/2022,KB_KVL,early,
FK,2,MG,Poa_secunda,POSE,0.048,0.0115,6/1/2022,KB_KVL,early,
TB,1,HG,Lomatium_ foeniculaceum,LOFO,0.032,0.0116,5/28/2022,KB_KVL,early,
TB,2,HG,Hedeoma_hispida,HEHI,0.056,0.0116,5/28/2022,KB_KVL,early,
FK,3,LG,Bouteloua_gracilis,BOGR,0.023,0.0118,7/2/2022,KB_MF,late,
TB,2,HG,Carex_filifolia,CAFI,0.052,0.0119,5/28/2022,KB_KVL,early,
