site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,biomass_mg,leaf_thickness_mm,leaf_area_cm,wet_weight_g,leaf_mg,comments,,
TB,Vicia americana,,3,8,95,n,y,n,n,n,n,n,n,1,11,16.8,1,0.1881,0.3,2.943,0.054,17.3,,,
TB,Vicia americana,,3,9,100,n,y,n,n,n,n,n,n,3,12,32,1,0.5413,0.2,4.291,0.083,27.3,,,
TB,Phlox hoodii,,1,1,40,n,y,n,n,n,n,n,n,4,23,3.6,39,0.0422,0.33,0.038,<0.001,0.425,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,1,2,90,n,y,n,n,n,n,n,n,7,29,2.6,6,0.0291,0.49,0.059,<0.001,0.757,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,1,3,80,n,y,n,n,n,n,n,n,12,45,2.9,15,0.0199,0.45,0.033,<0.001,0.375,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,2,4,90,n,y,n,n,n,n,n,n,2,13,2.1,1,0.0127,0.42,0.061,<0.001,0.598,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,2,5,35,n,y,n,n,n,n,n,n,15,66,3.3,2,0.0102,0.26,0.049,<0.001,0.349,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,2,6,100,n,y,n,n,n,n,n,n,4,47,1.6,0,0.042,0.29,0.032,<0.001,0.253,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,3,7,85,n,y,n,n,n,n,n,n,16,9,1.7,3,0.0086,0.26,0.036,<0.001,0.319,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,3,8,100,n,y,y,n,n,n,n,n,3,17,2.5,0,0.0097,0.21,0.031,<0.001,0.263,Used mictobalance for dry leaf weight,,
TB,Phlox hoodii,,3,9,95,n,y,n,n,n,n,n,n,4,37,2.5,3,0.0124,0.21,0.035,<0.001,0.254,Used mictobalance for dry leaf weight,,
TB,Plantago patagonica,,1,1,100,n,y,y,n,n,n,n,n,0,3,9.4,0,0.0102,0.31,0.331,0.007,1.4,,,
TB,Plantago patagonica,,1,2,100,n,y,y,y,y,n,n,n,0,3,5.6,0,0.0091,0.38,0.133,<0.001,0.7,,,
TB,Plantago patagonica,,1,3,100,n,y,y,y,y,n,n,n,0,6,6.2,0,0.0105,0.29,0.349,0.006,1.9,,,
TB,Plantago patagonica,,2,4,99,n,y,y,y,y,n,n,n,1,5,3.7,0,0.008,0.22,0.11,<0.001,0.5,,,
TB,Plantago patagonica,,2,5,98,n,y,y,y,y,n,n,n,1,4,7.9,0,0.0233,0.36,0.22,<0.001,1.1,,,
TB,Plantago patagonica,,2,6,99,n,y,y,y,y,n,n,n,0,3,5.1,0,0.0097,0.25,0.092,<0.001,0.7,,,
TB,Plantago patagonica,,3,7,100,n,y,y,y,y,n,n,n,0,0,6.7,0,0.007,,,,,no leaves,,
TB,Plantago patagonica,,3,8,98,n,y,y,y,y,n,n,n,0,5,6.5,0,0.0113,0.3,0.294,0.005,1.2,,,
TB,Plantago patagonica,,3,9,90,n,y,y,y,n,n,n,n,0,5,8.5,3,0.0309,0.24,0.667,0.014,3.5,,,
TB,Comandra umbellata,,1,1,100,n,y,n,n,n,n,n,n,3,20,8.3,0,0.1046,0.34,0.16,<0.001,1.1,,,
TB,Comandra umbellata,,1,2,98,n,y,n,n,n,n,n,n,41,203,16.2,1,0.6853,0.44,0.362,0.012,5.1,,,
TB,Comandra umbellata,,1,3,100,n,y,n,n,n,n,n,n,7,92,10.3,0,0.3434,0.34,0.139,<0.001,1,,,
TB,Comandra umbellata,,2,4,98,n,y,n,n,n,n,n,n,19,48,16.4,0,0.6288,0.34,0.406,0.01,3.7,,,
TB,Comandra umbellata,,2,5,100,n,y,n,n,n,n,n,n,0,29,11.2,0,0.3348,0.5,0.762,0.024,7.7,eaten,,
TB,Comandra umbellata,,2,6,100,n,y,n,n,n,n,n,n,4,30,10.2,0,0.1336,0.26,0.089,<0.001,0.3,,,
TB,Comandra umbellata,,3,7,99,n,y,n,n,n,n,n,n,5,47,16.6,1,0.3732,0.19,0.167,<0.001,1.2,,,
TB,Comandra umbellata,,3,8,90,n,y,n,n,n,n,n,n,3,125,15,0,0.8087,0.4,0.372,0.1,4.7,,,
TB,Comandra umbellata,,3,9,98,n,y,n,n,n,n,n,n,7,82,15.5,0,0.4012,0.27,0.19,<0.001,1.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
