Personnel,Date,Year,Site,Block,Paddock,Plot,Drought,Grazing,PlotID,Soil Moisture,SM again,Same?,TemperatureC,Temp again,Same?,Hi-Clay mode moisture,,,Notes
"Carley, Jill",8/9/19,2019,TB,3,2,48,2,HHMMM,48,25.7,25.7,T,35.1,35.1,T,22.4,22.4,TRUE,
"Carley, Jill",8/9/19,2019,TB,3,1,52,1,MMMMM,52,25.9,25.9,T,35.8,35.8,T,20.6,20.6,TRUE,
"Carley, Jill",8/9/19,2019,TB,3,1,53,2,MMMMM,53,22.4,22.4,T,35.8,35.8,T,21.5,21.5,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,2,3,1,HHMMM,3,5.3,5.3,T,29.1,29.1,T,5,5,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,2,4,2,HHMMM,4,9.8,9.8,T,29.2,29.2,T,8.1,8.1,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,3,7,2,MLLMM,7,16.0,16,T,30.2,30.2,T,12.2,12.2,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,3,9,1,MLLMM,9,8.8,8.8,T,29.9,29.9,T,7.4,7.4,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,1,15,2,MMMMM,15,9.1,9.1,T,31.9,31.9,T,7.6,7.6,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,1,1,17,1,MMMMM,17,9.5,9.5,T,31.7,31.7,T,7.9,7.9,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,2,20,2,HHMMM,20,25.8,25.8,T,32.3,32.3,T,18.9,18.9,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,2,23,1,HHMMM,23,27.9,27.9,T,32.1,32.1,T,24.6,24.6,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,1,25,1,MMMMM,25,28.9,28.9,T,32.4,32.4,T,24.3,24.3,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,1,29,2,MMMMM,29,9.5,9.5,T,32.2,32.2,T,7.9,7.9,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,3,34,1,MLLMM,34,21.7,21.7,T,33.1,33.1,T,16.1,16.1,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,2,3,36,2,MLLMM,36,29.2,29.2,T,34,34,T,25.5,25.5,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,3,3,39,1,MLLMM,39,31.4,31.4,T,37.2,37.2,T,30.2,30.2,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,3,3,41,2,MLLMM,41,28.9,28.9,T,36.4,36.4,T,24.2,24.2,TRUE,
