"","year","site","plot","aerial_basal","Genus_Species","Relative_Cover","Common.Name","Native_Introduced","Functional_Group","Annual_Perennial"
"128",2018,"TB","33","Basal","Bromus.tectorum",1.06382978723404,"cheatgrass","I","Brome","A"
"129",2018,"TB","4","Aerial","Bromus.tectorum",0.699300699300699,"cheatgrass","I","Brome","A"
"130",2018,"TB","4","Basal","Bromus.tectorum",1.01010101010101,"cheatgrass","I","Brome","A"
"131",2018,"TB","24","Aerial","Bromus.tectorum",13.0434782608696,"cheatgrass","I","Brome","A"
"132",2018,"TB","24","Basal","Bromus.tectorum",5.88235294117647,"cheatgrass","I","Brome","A"
"133",2018,"TB","2","Aerial","Bromus.tectorum",8.64197530864197,"cheatgrass","I","Brome","A"
"134",2018,"TB","2","Basal","Bromus.tectorum",2.12765957446809,"cheatgrass","I","Brome","A"
"135",2018,"TB","22","Aerial","Bromus.tectorum",0.847457627118644,"cheatgrass","I","Brome","A"
"136",2018,"TB","22","Basal","Bromus.tectorum",1.12359550561798,"cheatgrass","I","Brome","A"
"137",2018,"TB","13","Aerial","Hesperostipa.comata",10.8843537414966,"needle and thread","N","C3","P"
"138",2018,"TB","13","Basal","Hesperostipa.comata",15,"needle and thread","N","C3","P"
"139",2018,"TB","15","Aerial","Hesperostipa.comata",0.529100529100529,"needle and thread","N","C3","P"
"140",2018,"TB","15","Basal","Hesperostipa.comata",1.16279069767442,"needle and thread","N","C3","P"
"141",2018,"TB","17","Aerial","Hesperostipa.comata",1.35135135135135,"needle and thread","N","C3","P"
"142",2018,"TB","17","Basal","Hesperostipa.comata",1.31578947368421,"needle and thread","N","C3","P"
"143",2018,"TB","19","Aerial","Hesperostipa.comata",8.24742268041237,"needle and thread","N","C3","P"
"144",2018,"TB","19","Basal","Hesperostipa.comata",9.23076923076923,"needle and thread","N","C3","P"
"145",2018,"TB","3","Aerial","Hesperostipa.comata",10.2564102564103,"needle and thread","N","C3","P"
"146",2018,"TB","3","Basal","Hesperostipa.comata",12.3893805309735,"needle and thread","N","C3","P"
"147",2018,"TB","7","Aerial","Hesperostipa.comata",4.16666666666667,"needle and thread","N","C3","P"
"148",2018,"TB","7","Basal","Hesperostipa.comata",1.52671755725191,"needle and thread","N","C3","P"
"149",2018,"TB","6","Aerial","Hesperostipa.comata",19.8952879581152,"needle and thread","N","C3","P"
"150",2018,"TB","6","Basal","Hesperostipa.comata",19.047619047619,"needle and thread","N","C3","P"
"151",2018,"TB","8","Aerial","Hesperostipa.comata",1.45985401459854,"needle and thread","N","C3","P"
"152",2018,"TB","8","Basal","Hesperostipa.comata",1.06382978723404,"needle and thread","N","C3","P"
"153",2018,"TB","34","Aerial","Hesperostipa.comata",1.23456790123457,"needle and thread","N","C3","P"
"154",2018,"TB","5","Aerial","Hesperostipa.comata",9.72222222222222,"needle and thread","N","C3","P"
"155",2018,"TB","5","Basal","Hesperostipa.comata",11.4942528735632,"needle and thread","N","C3","P"
"156",2018,"TB","30","Aerial","Hesperostipa.comata",3.50877192982456,"needle and thread","N","C3","P"
"157",2018,"TB","30","Basal","Hesperostipa.comata",2.77777777777778,"needle and thread","N","C3","P"
"158",2018,"TB","4","Aerial","Hesperostipa.comata",5.59440559440559,"needle and thread","N","C3","P"
"159",2018,"TB","4","Basal","Hesperostipa.comata",4.04040404040404,"needle and thread","N","C3","P"
"160",2018,"TB","29","Aerial","Hesperostipa.comata",1.6,"needle and thread","N","C3","P"
"161",2018,"TB","29","Basal","Hesperostipa.comata",1.19047619047619,"needle and thread","N","C3","P"
"162",2018,"TB","31","Aerial","Hesperostipa.comata",1.51515151515152,"needle and thread","N","C3","P"
"163",2018,"TB","31","Basal","Hesperostipa.comata",1.92307692307692,"needle and thread","N","C3","P"
"164",2018,"TB","2","Aerial","Hesperostipa.comata",2.46913580246914,"needle and thread","N","C3","P"
"165",2018,"TB","2","Basal","Hesperostipa.comata",2.12765957446809,"needle and thread","N","C3","P"
"166",2018,"TB","13","Aerial","Koeleria.macrantha",16.3265306122449,"prairie Junegrass","N","C3","P"
"167",2018,"TB","13","Basal","Koeleria.macrantha",22.5,"prairie Junegrass","N","C3","P"
"168",2018,"TB","16","Aerial","Koeleria.macrantha",2.96296296296296,"prairie Junegrass","N","C3","P"
"169",2018,"TB","16","Basal","Koeleria.macrantha",2.7027027027027,"prairie Junegrass","N","C3","P"
