Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2020,FK,Sphaeralcea_coccinea,SPCO,1,2,97,1,5,8,1,2.307,,0.0653,0.1234,0.025,
2020,FK,Tragopogon_dubius,TRDU,2,3,65,3,12,27,16,2.3,,0.0398,1.2551,0.0095,
2019,TB,Koeleria_macrantha,KOMA,1,3,100,1,3,16.6,0,2.281,0.039,0.055,0.0567,0.0201,
2021,TB,Koeleria_macrantha,KOMA,1,LG,90,1,2,10.3,1,2.25,0.037,0.0396,0.0269,0.01455,
2020,FK,Koeleria_macrantha,KOMA,2,3,90,0,3,37.9,0,2.205,,0.0474,0.0303,0.02,
2020,TB,Pascopyrum_smithii,PASM,1,3,98,0,3,14,0,2.187,,0.0573,0.0495,0.0188,
2020,TB,Vicia_americana,VIAM,2,1,75,1,18,14,11,2.175,,0.027,0.074,0.0161,
2021,TB,Koeleria_macrantha,KOMA,1,HG,98,1,2,9.5,0,2.16,0.044,0.0361,0.0182,0.015,
2020,FK,Hesperostipa_comata,HECO,2,1,98,1,2,19.6,1,2.126,,0.0382,0.0126,0.021,
2020,FK,Tragopogon_dubius,TRDU,1,2,60,7,10,41.2,25,2.126,,0.0366,2.4772,0.0083,
2022,TB,Pascopyrum_smithii,PASM,1,MG,85,1,3,20.9,1,2.12,0.033,0.0595,0.1037,0.0238,
2019,FK,Tragopogon_dubius,TRDU,3,1,40,0,0,28.6,24,2.09,0.019,0.038,0.6156,0.0094,leaf from different plant
2019,TB,Pascopyrum_smithii,PASM,1,3,99,1,3,33.1,0,2.084,0.022,0.012,0.1575,0.0322,
2021,FK,Tragopogon_dubius,TRDU,1,MG,100,0,16,25.5,0,2.05,0.054,0.0573,0.898,0.0072,
2020,FK,Sphaeralcea_coccinea,SPCO,1,3,96,1,8,9.9,0,2.025,,0.0557,0.2242,0.0239,
2022,FK,Hesperostipa_comata,HECO,1,LG,70,1,1,31.2,1,2.02,0.023,0.048,0.0238,0.0226,
2021,FK,Tragopogon_dubius,TRDU,1,LG,100,0,5,15.1,0,2.014,0.038,0.0654,0.065,0.0155,
2021,TB,Pascopyrum_smithii,PASM,3,MG,80,1,2,16.7,1,2.01,0.042,0.0489,0.055,0.0179,
